Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","169’100’793.10","0.57","169’100’793.10","1’612’019.00","104.90","Canada","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","151’238’011.10","0.51","151’238’011.10","1’491’205.00","101.42","United States","NASDAQ","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","145’217’873.46","0.49","145’217’873.46","333’122.00","435.93","United States","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","143’107’329.37","0.48","143’107’329.37","474’541.00","301.57","United States","NASDAQ","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","138’729’095.25","0.47","138’729’095.25","363’403.00","381.75","United States","NASDAQ","USD"
"SNPS","SYNOPSYS INC","Information Technology","Equity","134’239’241.76","0.45","134’239’241.76","251’121.00","534.56","United States","NASDAQ","USD"
"FTNT","FORTINET INC","Information Technology","Equity","130’516’826.12","0.44","130’516’826.12","974’297.00","133.96","United States","NASDAQ","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","129’795’429.63","0.44","129’795’429.63","347’223.00","373.81","United States","NASDAQ","USD"
"ADBE","ADOBE INC","Information Technology","Equity","128’771’813.44","0.43","128’771’813.44","535’456.00","240.49","United States","NASDAQ","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","118’566’833.05","0.40","118’566’833.05","4’714’387.00","25.15","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","115’264’126.45","0.39","115’264’126.45","527’887.00","218.35","United States","NASDAQ","USD"
"CSX","CSX CORP","Industrials","Equity","112’901’165.72","0.38","112’901’165.72","2’422’252.00","46.61","United States","NASDAQ","USD"
