Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"INR","INR CASH","Cash and/or Derivatives","Cash","742’487.07","0.05","742’487.07","71’069’934.00","1.04","India","-","INR"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","448’697.68","0.03","448’697.68","386’875.00","115.98","European Union","-","EUR"
"PLN","PLN CASH","Cash and/or Derivatives","Cash","289’334.02","0.02","289’334.02","1’057’501.00","27.36","Poland","-","PLN"
"MXN","MXN CASH","Cash and/or Derivatives","Cash","51’925.73","0.00","51’925.73","900’623.00","5.77","Mexico","-","MXN"
"CLP","CLP CASH","Cash and/or Derivatives","Cash","46’746.26","0.00","46’746.26","42’141’755.00","0.11","Chile","-","CLP"
"MYR","MYR CASH","Cash and/or Derivatives","Cash","46’247.40","0.00","46’247.40","183’510.00","25.20","Malaysia","-","MYR"
"AED","AED CASH","Cash and/or Derivatives","Cash","44’752.38","0.00","44’752.38","164’362.00","27.23","United Arab Emirates","-","AED"
"TRY","TRY CASH","Cash and/or Derivatives","Cash","44’325.97","0.00","44’325.97","2’027’359.00","2.19","Turkey","-","TRY"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","42’470.87","0.00","42’470.87","31’616.00","134.33","United Kingdom","-","GBP"
"COP","COP CASH","Cash and/or Derivatives","Cash","42’206.00","0.00","42’206.00","154’534’089.00","0.03","Colombia","-","COP"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","39’093.51","0.00","39’093.51","59’293’134.00","0.07","Korea (South)","-","KRW"
"KWD","KWD CASH","Cash and/or Derivatives","Cash","38’272.55","0.00","38’272.55","11’849.00","323.00","Kuwait","-","KWD"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","36’341.76","0.00","36’341.76","1’144’620.00","3.18","Taiwan","-","TWD"
"ZAR","ZAR CASH","Cash and/or Derivatives","Cash","32’921.72","0.00","32’921.72","541’213.00","6.08","South Africa","-","ZAR"
"UPRO","YUNIPRO","Utilities","Equity","24’921.12","0.00","24’921.12","178’435’236.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"ETD_USD","ETD USD BALANCE WITH 06738C","Cash and/or Derivatives","Cash","22’500.00","0.00","22’500.00","22’500.00","100.00","United States","-","USD"
"PHP","PHP CASH","Cash and/or Derivatives","Cash","20’790.00","0.00","20’790.00","1’282’743.00","1.62","Philippines","-","PHP"
"RUB","RUB CASH","Cash and/or Derivatives","Cash","8’350.74","0.00","8’350.74","597’913.00","1.40","Russian Federation","-","RUB"
"SGD","SGD CASH","Cash and/or Derivatives","Cash","8’468.56","0.00","8’468.56","10’838.00","78.14","Singapore","-","SGD"
"QAR","QAR CASH","Cash and/or Derivatives","Cash","5’336.11","0.00","5’336.11","19’429.00","27.46","Qatar","-","QAR"
"EGP","EGP CASH","Cash and/or Derivatives","Cash","1’448.00","0.00","1’448.00","76’628.00","1.89","Egypt","-","EGP"
"MAGN","MAGNITOGORSKIY METALLURGICHESKIY K","Materials","Equity","1’234.62","0.00","1’234.62","8’839’890.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"FEES","FSK YEES","Utilities","Equity","366.55","0.00","366.55","2’624’522’405.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"RTKM","ROSTELECOM","Communication","Equity","392.90","0.00","392.90","2’813’179.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"SBER","SBERBANK ROSSII","Financials","Equity","223.08","0.00","223.08","1’597’219.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"MTSS","MOBILNYE TELESISTEMY","Communication","Equity","234.91","0.00","234.91","1’681’984.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"MOEX","MOSCOW EXCHANGE","Financials","Equity","245.57","0.00","245.57","1’758’275.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"NLMK","NOVOLIPETSK STEEL","Materials","Equity","289.80","0.00","289.80","2’074’960.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"TATN","TATNEFT","Energy","Equity","97.09","0.00","97.09","695’165.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"ETD_GBP","ETD GBP BALANCE WITH 06738C","Cash and/or Derivatives","Cash","-0.08","0.00","-0.08","0.00","134.33","United Kingdom","-","GBP"
"TRNFP","TRANSNEFT PREF","Energy","Equity","0.51","0.00","0.51","366’900.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"GMKN","GMK NORILSKIY NIKEL","Materials","Equity","1.98","0.00","1.98","1’417’500.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"LKOH","NK LUKOIL","Energy","Equity","10.41","0.00","10.41","74’512.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"PHOR","PHOSAGRO","Materials","Equity","15.43","0.00","15.43","110’492.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"PHOR","PJSC PHOSAGRO GDR","Materials","Equity","21.35","0.00","21.35","2’135.00","0.01","Russian Federation","London Stock Exchange","USD"
"CHMF","SEVERSTAL","Materials","Equity","58.34","0.00","58.34","417’696.00","0.00","Russian Federation","Standard-Classica-Forts","RUB"
"MCBM6","BCLEAR MSCI BRAZIL INDEX JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","7’442’880.00","96.00","775.30","-","IFLL","USD"
"MESM6","MSCI EMER MKT INDEX (ICE) JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","9’074’160.00","108.00","1’680.40","-","Ice Futures U.S.","USD"
 
