Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"BGEO","LION FINANCE GROUP PLC","Financials","Equity","23’062’297.50","0.14","23’062’297.50","211’775.00","108.90","United Kingdom","London Stock Exchange","GBP"
"BBOX","TRITAX BIG BOX REIT PLC","Real Estate","Equity","22’759’282.50","0.14","22’759’282.50","15’172’855.00","1.50","United Kingdom","London Stock Exchange","GBP"
"BTRW","BARRATT REDROW PLC","Consumer Discretionary","Equity","22’153’764.43","0.14","22’153’764.43","8’553’577.00","2.59","United Kingdom","London Stock Exchange","GBP"
"USD","USD CASH","Cash and/or Derivatives","Cash","21’964’784.92","0.14","21’964’784.92","29’543’734.00","74.35","United States","-","USD"
"PSN","PERSIMMON PLC","Consumer Discretionary","Equity","21’486’328.36","0.13","21’486’328.36","1’942’706.00","11.06","United Kingdom","London Stock Exchange","GBP"
"RMV","RIGHTMOVE PLC","Communication","Equity","21’246’434.01","0.13","21’246’434.01","4’920’434.00","4.32","United Kingdom","London Stock Exchange","GBP"
"ENT","ENTAIN PLC","Consumer Discretionary","Equity","20’651’950.24","0.13","20’651’950.24","3’840’080.00","5.38","United Kingdom","London Stock Exchange","GBP"
"MNDI","MONDI PLC","Materials","Equity","20’364’547.46","0.13","20’364’547.46","2’725’448.00","7.47","United Kingdom","London Stock Exchange","GBP"
"BKG","BERKELEY GROUP HOLDINGS (THE) PLC","Consumer Discretionary","Equity","19’350’662.44","0.12","19’350’662.44","576’599.00","33.56","United Kingdom","London Stock Exchange","GBP"
"AAF","AIRTEL AFRICA PLC","Communication","Equity","14’851’932.17","0.09","14’851’932.17","4’414’962.00","3.36","United Kingdom","London Stock Exchange","GBP"
"JD.","JD SPORTS FASHION PLC","Consumer Discretionary","Equity","12’200’512.45","0.08","12’200’512.45","15’010’473.00","0.81","United Kingdom","London Stock Exchange","GBP"
"BZFUT","CASH COLLATERAL GBP BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","7’980’610.00","0.05","7’980’610.00","7’980’610.00","100.00","United Kingdom","-","GBP"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","2’672’459.48","0.02","2’672’459.48","3’092’255.00","86.42","European Union","-","EUR"
"EVR","EVRAZ","Materials","Equity","30’939.10","0.00","30’939.10","3’093’910.00","0.01","United Kingdom","London Stock Exchange","GBP"
"Z M6","FTSE 100 INDEX JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","143’712’710.00","1’367.00","10’513.00","-","IFLL","GBP"
 
